M+S^E_3 with selection size 0.05 comparison in terms of gap closed - nb of sdp cuts added at cut rounds - nb of sdp cuts added based on the optimality measure between selection strategiescomb - feas
,,,,gap_closed_at_round_,_,_,_,_,_,_,_,nb_sdp_cuts_at_round_,_,_,_,_,_,_,_,nb_opt_cuts_at_round_,_,_,_,_,_,_,_
filename,size,density,nb_constraints,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb
q_20_10_75_2,20,75,10,0.2071482098674146,0.40890573994708934,0.4551521583748708,0.5345390417219417,0.6852289967488991,0.7813570631475164,0.731004966333317,0.8736614285261125,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_10_75_3,20,75,10,0.25979999803359666,0.24428651251151196,0.37323531961092604,0.4196501393605799,0.5147010559444151,0.4747032491552508,0.5737207869800087,0.622811347419705,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_10_75_4,20,75,10,0.32530432689552874,0.6408228283768094,0.7362333586109793,0.8789660167808047,0.8945324671625139,0.9788130447802851,0.9285574631494121,0.9883692072678548,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_10_75_5,20,75,10,0.5109962282374888,0.5745999828228757,0.7119700459147243,0.8727528884209916,0.8468868537766664,0.9503859993936102,0.9190376112880976,0.9809831140850389,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_20_100_1,20,100,20,0.3999165462163802,0.3966550026849419,0.5530998268296026,0.7352625290533513,0.7283215500814889,0.7617831251461832,0.7807300942695862,0.812951612549471,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_20_100_2,20,100,20,0.18964948379732616,0.29070158401624047,0.29865111273927597,0.6054405811477095,0.5246770074786005,0.6861676741242755,0.6204001218783264,0.7211877880958437,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,31
q_20_20_100_3,20,100,20,0.7493394072151742,0.7070644755933736,0.8800525074609756,0.874374201460833,0.8834107394827821,0.9197208690285815,0.9023588374105258,0.9432229732288511,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_20_100_4,20,100,20,0.3029076058005961,0.26299165120000473,0.4084622476149238,0.3209716416591812,0.5988772067841566,0.6311546377157292,0.6672269405748502,0.7147103003093722,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_20_100_5,20,100,20,0.3519197909863957,0.34372890799361117,0.45695407142548944,0.6987761373233804,0.5934957855361152,0.7441164116156299,0.6974571590759833,0.7893730923690837,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_20_25_1,20,25,20,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
q_20_20_25_2,20,25,20,0.4499904275426039,0.4499904275426039,0.47797562738129135,0.47797562738129135,0.4903378584786769,0.4903378584786769,0.4972883865695535,0.4972883865695535,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
q_20_20_25_3,20,25,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
q_20_20_25_4,20,25,20,0.19582296161696297,0.32526964056071106,0.27149223278386453,0.45825915766092107,0.5899330163817973,0.5298450170117761,0.6225510478937086,0.6396492668864039,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_20_25_5,20,25,20,0.05705784312018429,0.05705784312018429,0.08932203218002864,0.1332615004745257,0.13441761588196677,0.1381244027437541,0.1376213338249584,0.14217742663226365,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_20_50_1,20,50,20,0.3761512718325319,0.5280308525649341,0.6644457466773276,0.8174319531866626,0.7990246384876458,0.9213147764028812,0.9061700905880384,0.986145139432324,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_20_50_2,20,50,20,0.3232003471911541,0.6226865228208005,0.5686044953650526,0.678223334661373,0.6613056839751795,0.7847028300981674,0.7596560811925988,0.8022503973355923,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_20_50_3,20,50,20,0.024735335339159326,0.07060326877142041,0.06737465486124515,0.12376742730305082,0.10398726452709997,0.136595360062374,0.1371516219420898,0.14317648155379128,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_20_50_4,20,50,20,0.27334819238268626,0.3997612104355554,0.6618803795423622,0.7688208615528636,0.8389996450204974,0.9067288077331243,0.8980223516995746,0.9505087774383272,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_20_50_5,20,50,20,0.41554583531697176,0.30284846302097645,0.5932360204828975,0.6834695814972729,0.7132842347429178,0.7337038592944805,0.7205023520524635,0.7379181433170882,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_20_75_1,20,75,20,0.0,5.521780663351698e-15,0.0,5.521780663351698e-15,0.0,5.521780663351698e-15,0.0,5.521780663351698e-15,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0
q_20_20_75_2,20,75,20,0.12018046065796989,0.2907040545320959,0.43236349537462754,0.4110505887709518,0.4689596424743947,0.6462276030996473,0.6030095760166453,0.7171083122786808,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_20_75_3,20,75,20,0.911557029793831,0.911557029793831,0.9859205668342329,0.9858093320716389,0.9862249872725382,0.9862249818344743,0.9862249872725382,0.9862249818345441,8,8,8,8,8,8,8,5,0,8,0,8,0,8,0,5
