spar040-030-1,,,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,,,
40,30,12,,,,,,,,,,,,,
Bounds:,,,,,,,,,,,,,,,
opt_nn,feas,comb,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,dense,opt_exact,M+S_3 
0.019927792,0.024438655,0.02129945,0.006675343,0.006821436,0.006456287,0.008057305,0.006547819,0.005957513,0.006611701,0.006943972,0.007217381,0.006422568,2.883828185,0.11815672,0
0.026726598,0.032995141,0.028427641,0.008732151,0.009319452,0.008695005,0.010403741,0.008972028,0.007802021,0.008864687,0.010023404,0.009541489,0.008344327,3.834222001,0.210870893,0
0.033287945,0.041439215,0.035267837,0.010887612,0.011705898,0.010824789,0.012589898,0.011120937,0.010151264,0.010817902,0.011827363,0.012299305,0.010368798,4.787889139,0.376190487,0
0.039570344,0.049907072,0.042523844,0.013166648,0.013859144,0.012835952,0.014643451,0.013172928,0.012653808,0.013321459,0.014369495,0.015039569,0.01303968,5.751682378,0.749375949,0
0.04491487,0.058423781,0.049653847,0.015100916,0.015246105,0.014817241,0.016542859,0.016067394,0.014719889,0.015185273,0.01627046,0.017301347,0.01554916,6.709428437,0.978796285,0
0.050084677,0.066679515,0.056475649,0.017179612,0.017005752,0.017053904,0.018965013,0.018082977,0.017024901,0.018154855,0.018441269,0.020107121,0.017985859,7.670801531,1.219815355,0
0.055540175,0.076354182,0.067947707,0.019664579,0.018939676,0.01932188,0.021329375,0.020592866,0.019332686,0.020100162,0.020457878,0.022821824,0.020280873,8.643896817,1.478150424,0
0.060928424,0.085080241,0.079547554,0.022192222,0.020962734,0.022383296,0.023401772,0.022674556,0.021324003,0.022501548,0.023200567,0.025078633,0.022900664,9.615752165,1.751339783,0
0.066252475,0.093462294,0.088768032,0.025330351,0.023339149,0.025250366,0.025904764,0.025880399,0.023586158,0.024783192,0.025500138,0.026902954,0.024802304,10.58247385,2.03518581,0
0.071888277,0.102321809,0.098104957,0.027343177,0.02520235,0.027834049,0.028944077,0.028552883,0.025968656,0.027479939,0.027928671,0.028715348,0.027142047,11.54548148,2.346391768,0
0.077071097,0.111528153,0.108384641,0.029379338,0.027624851,0.031171898,0.031457266,0.030748414,0.028644458,0.029585457,0.030635906,0.030692294,0.029227156,12.5180093,2.74460861,0
0.082358183,0.120565235,0.117741952,0.031990121,0.029972408,0.034723311,0.033641423,0.032994546,0.031211604,0.031505617,0.033274467,0.033547826,0.031291142,13.48287398,3.121442459,0
0.087655988,0.129926083,0.126863326,0.033689565,0.032108479,0.036486142,0.036214222,0.03527305,0.033970004,0.034160945,0.035817921,0.036753961,0.033554712,14.44975119,3.499270996,0
0.09309451,0.139441772,0.136003616,0.035603542,0.034628672,0.039170063,0.038199719,0.037078914,0.036534547,0.036574575,0.038772215,0.038969759,0.036252994,15.41012238,3.982690369,0
0.098272603,0.149312831,0.144990513,0.037821959,0.037651074,0.04127835,0.041052334,0.038972991,0.039289864,0.038447645,0.040582398,0.041018585,0.039234976,16.37817294,4.495379586,0
0.103447606,0.158514728,0.15416416,0.03969433,0.040188264,0.044088594,0.043123235,0.041167252,0.041900809,0.041070893,0.0427129,0.042940913,0.041973912,17.3431531,4.960005853,0
0.108600836,0.167379867,0.163135735,0.041607792,0.042950734,0.046767846,0.045432209,0.042919821,0.044208805,0.043904393,0.045633604,0.045809509,0.044286295,18.31556057,5.427731904,0
0.113857278,0.17674527,0.171769679,0.043949619,0.045286458,0.048826605,0.048120366,0.045267098,0.047682401,0.04598542,0.048361207,0.048643737,0.046563291,19.28428147,6.068140445,0
spar040-100-1,,,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,,,
40,100,469,,,,,,,,,,,,,
Bounds:,,,,,,,,,,,,,,,
opt_nn,feas,comb,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,dense,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836540685
0.312676644,0.227504436,0.312676644,0.268027709,0.286085338,0.289820467,0.273209501,0.310947959,0.301646628,0.306125616,0.281340499,0.314239631,0.306193275,0.327150334,0.588866661,0.836540685
0.723785499,0.512270378,0.723785499,0.523360768,0.504922782,0.542687619,0.508505389,0.516575284,0.534243749,0.509538433,0.494429399,0.529760649,0.52317536,0.716963246,0.859262051,0.836540685
0.793449213,0.70526445,0.793449213,0.621597435,0.607772735,0.636570254,0.624695818,0.618961446,0.631939957,0.625460594,0.617280959,0.624590567,0.62731854,0.793488661,0.910788022,0.836540685
0.813399486,0.786331909,0.814202072,0.683356876,0.671055969,0.683983527,0.665450355,0.679324941,0.686200937,0.682320175,0.679611045,0.689832933,0.691967443,0.809872146,0.933748052,0.836540685
