spar040-030-1,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,
40,30,12,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
size,density,max_cuts_sel,,,,,,,,,,,
100,25,115,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0.751293657
0.116410233,0.095944089,0.079449084,0.081973276,0.086643978,0.086112734,0.089286423,0.084977263,0.093540238,0.087026494,0.086389677,0.088074065,0.12254215,0.751293657
0.335433587,0.190350993,0.163261576,0.149440426,0.15232839,0.157001025,0.154990377,0.150623308,0.163976254,0.139577519,0.138464516,0.160740135,0.334409565,0.751293657
0.471506939,0.295622558,0.216086388,0.209235916,0.194761712,0.218181219,0.208793364,0.208339051,0.216189354,0.202572154,0.203632886,0.210054277,0.459086795,0.751293657
0.559518148,0.393057364,0.260979113,0.269526239,0.247153675,0.271097928,0.26149046,0.260599481,0.263439228,0.247028642,0.261365904,0.264448866,0.551635668,0.751293657
0.619066481,0.477127287,0.316345824,0.304829283,0.300343846,0.320172384,0.3136541,0.310151496,0.307403566,0.293644768,0.315146015,0.307295114,0.611236228,0.751293657
0.650899381,0.52690529,0.357358023,0.33800538,0.356157218,0.356765035,0.358990353,0.361594528,0.35582693,0.330894578,0.348862968,0.345528418,0.644703742,0.751293657
0.670736857,0.591059127,0.40830096,0.386416448,0.395948826,0.407117896,0.405071463,0.397340209,0.398329471,0.374713857,0.396463324,0.386521379,0.666256242,0.751293657
0.681335114,0.64143711,0.435611668,0.416716729,0.435393196,0.437838544,0.436822176,0.428477119,0.430272216,0.405599287,0.438160548,0.419237388,0.681419153,0.751293657
0.691011267,0.669041039,0.466261248,0.445903937,0.457879134,0.472021064,0.46613095,0.454309668,0.458219346,0.435368238,0.47088506,0.459328571,0.691181854,0.751293657
0.697218716,0.68580193,0.490536871,0.476777744,0.479410486,0.49677339,0.485690533,0.479337451,0.481865665,0.4683263,0.499494446,0.479441944,0.696894641,0.751293657
0.701513608,0.701078272,0.514050668,0.504796037,0.510327158,0.514960211,0.502984603,0.502805493,0.509739674,0.492070114,0.520560585,0.505330345,0.700705523,0.751293657
0.704595118,0.712278149,0.53514942,0.523244709,0.531929329,0.537790923,0.525498158,0.525880658,0.532321758,0.520092597,0.537000683,0.521767165,0.701988544,0.751293657
0.706620397,0.719822153,0.549597393,0.535819794,0.547372288,0.551040841,0.542453835,0.548967689,0.549099369,0.542789632,0.55307519,0.53664339,0.703233306,0.751293657
0.708578619,0.726566322,0.562778282,0.550550746,0.561676271,0.56811238,0.554402498,0.569338281,0.563920113,0.558730245,0.569921027,0.558892199,0.704335815,0.751293657
0.709529949,0.73076304,0.571672986,0.565560305,0.572159862,0.579181465,0.566026384,0.583490588,0.573946284,0.577910955,0.584201026,0.571048128,0.705096728,0.751293657
